[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 15:51:26 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 15:51:29 INFO  com.product.main.ProductMain  - Enter Product ID to get Product Details
[main] 2021-07-12 15:51:32 ERROR com.product.main.ProductMain  - Invalid ProductId, it should be integer value not char
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 15:51:32 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 15:51:39 INFO  com.product.main.ProductMain  - Enter Product ID to get Product Details
[main] 2021-07-12 15:51:42 ERROR com.product.main.ProductMain  - Invalid ProductId : -1
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 15:51:42 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 15:52:41 INFO  com.product.main.ProductMain  - Enter Product ID to get Product Details
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - Product with id 2 was found... Details are
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - Product [productId=2, name=mobile, rating=4.3, available=true, cost=13100.0, manufacturerId=1000]
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 5)By ManufacturerId
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 15:52:44 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 

Going to Main Menu............


[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 4)Search Products by Various Filters
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 5)List All Products
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - 6)EXIT
[main] 2021-07-12 15:53:05 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 15:53:12 INFO  com.product.main.ProductMain  - Thanks for using our App.. See you soon. :)
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 4)Search Products by Various Filters
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 5)List All Products
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - 6)EXIT
[main] 2021-07-12 16:06:22 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 5)By Manufacturer Name
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 16:06:26 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 16:06:29 INFO  com.product.main.ProductMain  - Enter Manufacturer Name to get the products Manufactured By them
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - Product [productId=1, name=tv, rating=3.3, available=true, cost=12000.22, manufacturerId=1000]
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - Product [productId=2, name=mobile, rating=4.3, available=true, cost=13100.0, manufacturerId=1000]
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - Product [productId=5, name=tv, rating=4.4, available=true, cost=9000.0, manufacturerId=1000]
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - Product [productId=9, name=laptop, rating=3.1, available=true, cost=29999.0, manufacturerId=1000]
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 5)By Manufacturer Name
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 16:06:32 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 16:06:45 INFO  com.product.main.ProductMain  - Enter Manufacturer Name to get the products Manufactured By them
[main] 2021-07-12 16:06:49 ERROR com.product.main.ProductMain  - No products exists as of now produced by the manufacturer : dssddsds
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 5)By Manufacturer Name
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 16:06:49 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 16:06:59 INFO  com.product.main.ProductMain  - Enter Manufacturer Name to get the products Manufactured By them
[main] 2021-07-12 16:07:02 ERROR com.product.main.ProductMain  - Invalid Manufacturer Name : 1111
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 4)By Cost
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 5)By Manufacturer Name
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - 6)Main Menu
[main] 2021-07-12 16:07:02 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 

Going to Main Menu............


[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 4)Search Products by Various Filters
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 5)List All Products
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - 6)EXIT
[main] 2021-07-12 16:07:21 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 16:07:26 INFO  com.product.main.ProductMain  - Thanks for using our App.. See you soon. :)
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - Welcome to ProductApp V1.0
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - ==================================
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 
Product Menu
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 1)Create Product
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 2)Update Product
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 3)Delete Product
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 4)Search Products by Various Filters
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 5)List All Products
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - 6)EXIT
[main] 2021-07-12 17:12:55 INFO  com.product.main.ProductMain  - Enter your Choice 1-6
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 

Search Product Menu.Use Various filters below to search your Product.....
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - ---------------------------------------------------------------------------------------
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 1)By ID
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 2)By Name
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 3)By Rating
[main] 2021-07-12 17:13:09 INFO  com.product.main.ProductMain  - 4)By Cost
